Season,Region,Country,Week,Surveillance System Type,A not subtyped,A(H1)pdm09,A(H3),B lineage not determined,B/Vic,B/Yam
2015/2016,EU/EEA,Austria,2015-W40,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W44,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W46,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Austria,2015-W47,Non-sentinel,0,3,2,0,0,0
2015/2016,EU/EEA,Austria,2015-W48,Non-sentinel,0,2,4,0,0,0
2015/2016,EU/EEA,Austria,2015-W49,Non-sentinel,0,0,6,0,0,0
2015/2016,EU/EEA,Austria,2015-W50,Non-sentinel,0,3,2,0,0,0
2015/2016,EU/EEA,Austria,2015-W51,Non-sentinel,2,2,9,0,0,0
2015/2016,EU/EEA,Austria,2015-W52,Non-sentinel,0,3,5,3,0,0
2015/2016,EU/EEA,Austria,2015-W53,Non-sentinel,2,7,7,3,0,0
2015/2016,EU/EEA,Austria,2016-W01,Non-sentinel,16,12,4,6,0,0
2015/2016,EU/EEA,Austria,2016-W02,Non-sentinel,21,9,4,13,0,0
2015/2016,EU/EEA,Austria,2016-W03,Non-sentinel,32,10,4,18,0,0
2015/2016,EU/EEA,Austria,2016-W04,Non-sentinel,41,20,3,77,0,0
2015/2016,EU/EEA,Austria,2016-W05,Non-sentinel,14,20,3,86,0,0
2015/2016,EU/EEA,Austria,2016-W06,Non-sentinel,49,27,4,94,0,0
2015/2016,EU/EEA,Austria,2016-W07,Non-sentinel,49,21,5,93,0,0
2015/2016,EU/EEA,Austria,2016-W08,Non-sentinel,48,16,7,90,0,0
2015/2016,EU/EEA,Austria,2016-W09,Non-sentinel,33,18,6,105,0,0
2015/2016,EU/EEA,Austria,2016-W10,Non-sentinel,26,11,3,106,0,0
2015/2016,EU/EEA,Austria,2016-W11,Non-sentinel,16,7,3,73,0,0
2015/2016,EU/EEA,Austria,2016-W12,Non-sentinel,18,16,0,66,0,0
2015/2016,EU/EEA,Austria,2016-W13,Non-sentinel,12,0,1,46,0,0
2015/2016,EU/EEA,Austria,2016-W14,Non-sentinel,7,3,0,26,0,0
2015/2016,EU/EEA,Bulgaria,2015-W51,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W01,Non-sentinel,0,2,0,0,1,0
2015/2016,EU/EEA,Bulgaria,2016-W02,Non-sentinel,0,4,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W03,Non-sentinel,0,11,0,0,0,0
2015/2016,EU/EEA,Bulgaria,2016-W04,Non-sentinel,0,12,2,0,2,0
2015/2016,EU/EEA,Bulgaria,2016-W05,Non-sentinel,0,24,1,0,3,0
2015/2016,EU/EEA,Bulgaria,2016-W06,Non-sentinel,0,60,2,0,7,0
2015/2016,EU/EEA,Bulgaria,2016-W07,Non-sentinel,0,28,12,0,9,0
2015/2016,EU/EEA,Bulgaria,2016-W08,Non-sentinel,0,15,1,0,6,0
2015/2016,EU/EEA,Bulgaria,2016-W09,Non-sentinel,0,11,0,0,6,0
2015/2016,EU/EEA,Bulgaria,2016-W10,Non-sentinel,0,5,0,0,3,0
2015/2016,EU/EEA,Bulgaria,2016-W11,Non-sentinel,0,5,0,0,10,0
2015/2016,EU/EEA,Bulgaria,2016-W12,Non-sentinel,0,6,1,0,7,0
2015/2016,EU/EEA,Bulgaria,2016-W13,Non-sentinel,0,3,5,0,5,0
2015/2016,EU/EEA,Bulgaria,2016-W14,Non-sentinel,0,2,1,0,6,0
2015/2016,EU/EEA,Bulgaria,2016-W15,Non-sentinel,0,0,2,0,3,0
2015/2016,EU/EEA,Bulgaria,2016-W16,Non-sentinel,0,0,1,0,2,0
2015/2016,EU/EEA,Croatia,2015-W48,Non-sentinel,0,4,0,0,0,0
2015/2016,EU/EEA,Croatia,2015-W52,Non-sentinel,0,5,1,0,0,0
2015/2016,EU/EEA,Croatia,2015-W53,Non-sentinel,7,3,2,0,0,0
2015/2016,EU/EEA,Croatia,2016-W01,Non-sentinel,3,4,0,0,0,0
2015/2016,EU/EEA,Croatia,2016-W02,Non-sentinel,16,11,4,5,2,0
2015/2016,EU/EEA,Croatia,2016-W03,Non-sentinel,32,20,2,1,0,0
2015/2016,EU/EEA,Croatia,2016-W04,Non-sentinel,10,31,3,7,0,0
2015/2016,EU/EEA,Croatia,2016-W05,Non-sentinel,32,39,14,10,0,0
2015/2016,EU/EEA,Croatia,2016-W06,Non-sentinel,45,32,7,19,0,0
2015/2016,EU/EEA,Croatia,2016-W07,Non-sentinel,42,31,21,20,0,0
2015/2016,EU/EEA,Croatia,2016-W08,Non-sentinel,32,39,14,2,11,8
2015/2016,EU/EEA,Croatia,2016-W09,Non-sentinel,70,26,25,18,11,3
2015/2016,EU/EEA,Croatia,2016-W10,Non-sentinel,55,26,18,33,10,3
2015/2016,EU/EEA,Croatia,2016-W11,Non-sentinel,57,33,0,33,14,6
2015/2016,EU/EEA,Croatia,2016-W12,Non-sentinel,14,20,52,25,8,4
2015/2016,EU/EEA,Croatia,2016-W13,Non-sentinel,29,22,30,12,9,3
2015/2016,EU/EEA,Croatia,2016-W14,Non-sentinel,6,15,29,11,10,8
2015/2016,EU/EEA,Croatia,2016-W15,Non-sentinel,0,28,21,0,8,5
2015/2016,EU/EEA,Croatia,2016-W16,Non-sentinel,8,7,4,3,4,3
2015/2016,EU/EEA,Croatia,2016-W17,Non-sentinel,0,14,14,7,5,2
2015/2016,EU/EEA,Croatia,2016-W19,Non-sentinel,26,0,0,15,0,0
2015/2016,EU/EEA,Croatia,2016-W20,Non-sentinel,2,1,2,1,1,1
2015/2016,EU/EEA,Czechia,2015-W43,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Czechia,2015-W44,Non-sentinel,0,1,0,1,0,0
2015/2016,EU/EEA,Czechia,2015-W45,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Czechia,2015-W46,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Czechia,2015-W47,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Czechia,2015-W48,Non-sentinel,0,0,0,0,0,1
2015/2016,EU/EEA,Czechia,2015-W49,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Czechia,2015-W50,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Czechia,2015-W51,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Czechia,2015-W52,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Czechia,2015-W53,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Czechia,2016-W01,Non-sentinel,0,0,0,0,0,1
2015/2016,EU/EEA,Czechia,2016-W02,Non-sentinel,0,0,0,0,0,2
2015/2016,EU/EEA,Czechia,2016-W03,Non-sentinel,1,6,1,0,0,3
2015/2016,EU/EEA,Czechia,2016-W04,Non-sentinel,0,17,0,0,0,3
2015/2016,EU/EEA,Czechia,2016-W05,Non-sentinel,0,18,0,0,0,10
2015/2016,EU/EEA,Czechia,2016-W06,Non-sentinel,3,11,0,1,4,0
2015/2016,EU/EEA,Czechia,2016-W07,Non-sentinel,2,25,1,0,1,1
2015/2016,EU/EEA,Czechia,2016-W08,Non-sentinel,1,25,0,0,1,1
2015/2016,EU/EEA,Czechia,2016-W09,Non-sentinel,0,20,0,1,4,0
2015/2016,EU/EEA,Czechia,2016-W10,Non-sentinel,1,24,1,1,1,0
2015/2016,EU/EEA,Czechia,2016-W11,Non-sentinel,1,14,1,1,1,1
2015/2016,EU/EEA,Czechia,2016-W12,Non-sentinel,1,14,0,0,2,3
2015/2016,EU/EEA,Czechia,2016-W13,Non-sentinel,0,8,1,0,2,2
2015/2016,EU/EEA,Czechia,2016-W14,Non-sentinel,2,2,2,0,2,6
2015/2016,EU/EEA,Czechia,2016-W15,Non-sentinel,1,4,0,1,2,0
2015/2016,EU/EEA,Czechia,2016-W16,Non-sentinel,0,1,0,3,0,0
2015/2016,EU/EEA,Czechia,2016-W17,Non-sentinel,0,3,0,1,0,0
2015/2016,EU/EEA,Czechia,2016-W18,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Czechia,2016-W19,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2015-W40,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2015-W41,Non-sentinel,1,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2015-W42,Non-sentinel,0,0,0,2,0,0
2015/2016,EU/EEA,Denmark,2015-W43,Non-sentinel,1,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2015-W44,Non-sentinel,2,0,1,1,0,0
2015/2016,EU/EEA,Denmark,2015-W45,Non-sentinel,0,0,0,1,0,1
2015/2016,EU/EEA,Denmark,2015-W46,Non-sentinel,2,0,0,1,1,0
2015/2016,EU/EEA,Denmark,2015-W47,Non-sentinel,2,0,2,0,0,0
2015/2016,EU/EEA,Denmark,2015-W48,Non-sentinel,2,2,0,2,0,0
2015/2016,EU/EEA,Denmark,2015-W49,Non-sentinel,8,4,0,5,0,0
2015/2016,EU/EEA,Denmark,2015-W50,Non-sentinel,3,9,0,5,0,0
2015/2016,EU/EEA,Denmark,2015-W51,Non-sentinel,15,4,1,6,0,0
2015/2016,EU/EEA,Denmark,2015-W52,Non-sentinel,9,8,0,5,1,0
2015/2016,EU/EEA,Denmark,2015-W53,Non-sentinel,4,11,0,3,1,0
2015/2016,EU/EEA,Denmark,2016-W01,Non-sentinel,12,9,0,7,2,0
2015/2016,EU/EEA,Denmark,2016-W02,Non-sentinel,21,22,0,10,2,2
2015/2016,EU/EEA,Denmark,2016-W03,Non-sentinel,44,34,6,20,13,3
2015/2016,EU/EEA,Denmark,2016-W04,Non-sentinel,105,88,8,57,19,1
2015/2016,EU/EEA,Denmark,2016-W05,Non-sentinel,132,79,5,102,31,3
2015/2016,EU/EEA,Denmark,2016-W06,Non-sentinel,162,139,6,149,60,7
2015/2016,EU/EEA,Denmark,2016-W07,Non-sentinel,147,112,6,175,78,7
2015/2016,EU/EEA,Denmark,2016-W08,Non-sentinel,148,104,3,209,82,15
2015/2016,EU/EEA,Denmark,2016-W09,Non-sentinel,126,83,5,226,86,17
2015/2016,EU/EEA,Denmark,2016-W10,Non-sentinel,121,81,14,243,81,27
2015/2016,EU/EEA,Denmark,2016-W11,Non-sentinel,133,58,6,269,47,14
2015/2016,EU/EEA,Denmark,2016-W12,Non-sentinel,69,19,5,147,36,15
2015/2016,EU/EEA,Denmark,2016-W13,Non-sentinel,32,16,6,95,23,18
2015/2016,EU/EEA,Denmark,2016-W14,Non-sentinel,38,4,6,60,9,6
2015/2016,EU/EEA,Denmark,2016-W15,Non-sentinel,23,4,2,36,6,5
2015/2016,EU/EEA,Denmark,2016-W16,Non-sentinel,10,8,0,21,4,4
2015/2016,EU/EEA,Denmark,2016-W17,Non-sentinel,5,3,0,18,2,4
2015/2016,EU/EEA,Denmark,2016-W18,Non-sentinel,0,6,6,0,4,9
2015/2016,EU/EEA,Denmark,2016-W19,Non-sentinel,10,0,0,10,0,2
2015/2016,EU/EEA,Denmark,2016-W20,Non-sentinel,3,0,0,2,0,2
2015/2016,EU/EEA,Denmark,2016-W21,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W22,Non-sentinel,1,0,0,0,0,1
2015/2016,EU/EEA,Denmark,2016-W23,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W24,Non-sentinel,1,1,1,0,0,0
2015/2016,EU/EEA,Denmark,2016-W25,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W26,Non-sentinel,1,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2016-W27,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2016-W28,Non-sentinel,0,0,0,2,0,0
2015/2016,EU/EEA,Denmark,2016-W29,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W30,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2016-W31,Non-sentinel,2,0,0,2,0,0
2015/2016,EU/EEA,Denmark,2016-W32,Non-sentinel,2,0,0,2,0,0
2015/2016,EU/EEA,Denmark,2016-W33,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W34,Non-sentinel,0,0,0,1,1,0
2015/2016,EU/EEA,Denmark,2016-W35,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Denmark,2016-W36,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Denmark,2016-W37,Non-sentinel,3,0,0,2,0,0
2015/2016,EU/EEA,Denmark,2016-W38,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2015-W40,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Estonia,2015-W42,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Estonia,2015-W44,Non-sentinel,1,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2015-W45,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Estonia,2015-W46,Non-sentinel,1,0,0,1,0,0
2015/2016,EU/EEA,Estonia,2015-W47,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Estonia,2015-W48,Non-sentinel,0,0,0,1,0,0
2015/2016,EU/EEA,Estonia,2015-W53,Non-sentinel,0,0,0,0,2,0
2015/2016,EU/EEA,Estonia,2016-W01,Non-sentinel,4,2,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W02,Non-sentinel,1,2,0,0,1,0
2015/2016,EU/EEA,Estonia,2016-W03,Non-sentinel,15,8,0,15,0,0
2015/2016,EU/EEA,Estonia,2016-W05,Non-sentinel,39,28,0,59,0,0
2015/2016,EU/EEA,Estonia,2016-W06,Non-sentinel,45,16,0,41,0,0
2015/2016,EU/EEA,Estonia,2016-W07,Non-sentinel,38,12,0,36,0,0
2015/2016,EU/EEA,Estonia,2016-W09,Non-sentinel,26,6,0,14,0,0
2015/2016,EU/EEA,Estonia,2016-W11,Non-sentinel,24,10,0,18,2,0
2015/2016,EU/EEA,Estonia,2016-W12,Non-sentinel,23,4,0,5,0,0
2015/2016,EU/EEA,Estonia,2016-W13,Non-sentinel,12,3,0,9,0,0
2015/2016,EU/EEA,Estonia,2016-W14,Non-sentinel,15,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W15,Non-sentinel,23,0,0,8,0,0
2015/2016,EU/EEA,Estonia,2016-W16,Non-sentinel,11,3,0,1,0,0
2015/2016,EU/EEA,Estonia,2016-W17,Non-sentinel,9,0,0,4,0,0
2015/2016,EU/EEA,Estonia,2016-W18,Non-sentinel,7,0,0,2,0,0
2015/2016,EU/EEA,Estonia,2016-W19,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W20,Non-sentinel,0,0,0,2,0,0
2015/2016,EU/EEA,Estonia,2016-W22,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W24,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W28,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Estonia,2016-W29,Non-sentinel,2,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W36,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W37,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W38,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Estonia,2016-W39,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W40,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W41,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W42,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W43,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W44,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W45,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W46,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W47,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W48,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W49,Non-sentinel,0,5,5,0,0,0
2015/2016,EU/EEA,Finland,2015-W50,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W51,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W52,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Finland,2015-W53,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W01,Non-sentinel,0,5,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W02,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Finland,2016-W03,Non-sentinel,0,11,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W04,Non-sentinel,0,10,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W05,Non-sentinel,0,8,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W06,Non-sentinel,0,7,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W07,Non-sentinel,0,4,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W08,Non-sentinel,0,5,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W09,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W10,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W11,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W12,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W13,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W14,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W15,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W16,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W17,Non-sentinel,0,0,0,0,2,0
2015/2016,EU/EEA,Finland,2016-W18,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W19,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W20,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W21,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W22,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W23,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W24,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W25,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W26,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W27,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W28,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W29,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W30,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W31,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W32,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W33,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W34,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W35,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W36,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W37,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W38,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Finland,2016-W39,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,France,2015-W40,Non-sentinel,5,0,0,0,0,0
2015/2016,EU/EEA,France,2015-W41,Non-sentinel,10,2,7,2,0,0
2015/2016,EU/EEA,France,2015-W42,Non-sentinel,5,1,0,2,0,0
2015/2016,EU/EEA,France,2015-W43,Non-sentinel,1,0,0,3,0,0
2015/2016,EU/EEA,France,2015-W44,Non-sentinel,12,0,0,2,0,0
2015/2016,EU/EEA,France,2015-W45,Non-sentinel,8,0,0,2,0,0
2015/2016,EU/EEA,France,2015-W46,Non-sentinel,3,1,0,2,0,0
2015/2016,EU/EEA,France,2015-W47,Non-sentinel,4,0,0,1,0,0
2015/2016,EU/EEA,France,2015-W48,Non-sentinel,2,0,0,2,0,0
2015/2016,EU/EEA,France,2015-W49,Non-sentinel,6,2,0,6,0,0
2015/2016,EU/EEA,France,2015-W50,Non-sentinel,5,1,0,9,0,0
2015/2016,EU/EEA,France,2015-W51,Non-sentinel,12,1,0,11,0,0
2015/2016,EU/EEA,France,2015-W52,Non-sentinel,10,2,0,17,0,0
2015/2016,EU/EEA,France,2015-W53,Non-sentinel,11,5,0,15,0,0
2015/2016,EU/EEA,France,2016-W01,Non-sentinel,27,3,0,45,0,0
2015/2016,EU/EEA,France,2016-W02,Non-sentinel,47,6,3,52,0,0
2015/2016,EU/EEA,France,2016-W03,Non-sentinel,91,27,1,107,0,0
2015/2016,EU/EEA,France,2016-W04,Non-sentinel,165,33,1,264,0,0
2015/2016,EU/EEA,France,2016-W05,Non-sentinel,195,50,1,409,0,0
2015/2016,EU/EEA,France,2016-W06,Non-sentinel,196,60,4,567,0,0
2015/2016,EU/EEA,France,2016-W07,Non-sentinel,270,53,0,683,0,0
2015/2016,EU/EEA,France,2016-W08,Non-sentinel,344,61,1,879,0,0
2015/2016,EU/EEA,France,2016-W09,Non-sentinel,308,73,1,777,0,0
2015/2016,EU/EEA,France,2016-W10,Non-sentinel,323,69,0,859,0,0
2015/2016,EU/EEA,France,2016-W11,Non-sentinel,372,77,1,904,0,0
2015/2016,EU/EEA,France,2016-W12,Non-sentinel,257,95,2,791,0,0
2015/2016,EU/EEA,France,2016-W13,Non-sentinel,267,114,8,572,0,0
2015/2016,EU/EEA,France,2016-W14,Non-sentinel,212,94,4,383,0,0
2015/2016,EU/EEA,France,2016-W15,Non-sentinel,124,35,1,184,0,0
2015/2016,EU/EEA,France,2016-W16,Non-sentinel,82,28,0,95,0,0
2015/2016,EU/EEA,France,2016-W17,Non-sentinel,41,21,1,37,0,0
2015/2016,EU/EEA,France,2016-W18,Non-sentinel,27,5,0,21,0,0
2015/2016,EU/EEA,France,2016-W19,Non-sentinel,15,2,0,9,0,0
2015/2016,EU/EEA,France,2016-W20,Non-sentinel,8,1,0,2,0,0
2015/2016,EU/EEA,Germany,2015-W40,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Germany,2015-W41,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W42,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W43,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W44,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W45,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W46,Non-sentinel,0,1,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W47,Non-sentinel,0,1,2,0,0,0
2015/2016,EU/EEA,Germany,2015-W48,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W49,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W50,Non-sentinel,0,1,1,0,0,0
2015/2016,EU/EEA,Germany,2015-W51,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W52,Non-sentinel,0,2,0,0,0,0
2015/2016,EU/EEA,Germany,2015-W53,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W01,Non-sentinel,0,3,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W02,Non-sentinel,0,4,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W03,Non-sentinel,0,0,0,0,1,0
2015/2016,EU/EEA,Germany,2016-W04,Non-sentinel,0,4,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W05,Non-sentinel,0,5,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W06,Non-sentinel,0,10,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W07,Non-sentinel,0,7,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W08,Non-sentinel,0,6,0,0,1,2
2015/2016,EU/EEA,Germany,2016-W09,Non-sentinel,0,3,1,0,9,0
2015/2016,EU/EEA,Germany,2016-W10,Non-sentinel,0,8,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W11,Non-sentinel,0,8,0,0,2,0
2015/2016,EU/EEA,Germany,2016-W12,Non-sentinel,0,3,0,0,6,0
2015/2016,EU/EEA,Germany,2016-W13,Non-sentinel,0,8,2,0,11,1
2015/2016,EU/EEA,Germany,2016-W14,Non-sentinel,0,5,0,0,3,1
2015/2016,EU/EEA,Germany,2016-W15,Non-sentinel,0,0,1,0,1,2
2015/2016,EU/EEA,Germany,2016-W16,Non-sentinel,0,1,0,0,1,0
2015/2016,EU/EEA,Germany,2016-W17,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W18,Non-sentinel,0,0,0,0,2,0
2015/2016,EU/EEA,Germany,2016-W19,Non-sentinel,0,4,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W20,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W21,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W22,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W23,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W24,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W25,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W26,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W27,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W28,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W29,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W30,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W31,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W32,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W33,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W34,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W35,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W36,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Germany,2016-W37,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W38,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Germany,2016-W39,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Greece,2015-W42,Non-sentinel,0,0,1,0,0,0
2015/2016,EU/EEA,Greece,2015-W47,Non-sentinel,0,0,0,0,0,0
2015/2016,EU/EEA,Greece,2015-W48,Non-sentinel,0,0,0,0,0,0
